"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"449.l.190123.t.1","Get Your Butker In The Kitchen","True","Logan","5","5","3","2","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/002952ceaeaddcbae861006c4eeb0ad721a1bf0d85b3c7d7d48d59bfc935d1aa.png"
"449.l.190123.t.2","Give Me A Chubb","False","Nathan","6","6","2","3","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/32bdaf4d4817f574f425bc4f5124f5933c2b1a4d555c61577155cfa1217db828.jpg"
"449.l.190123.t.3","phat Thor's Huge Pile of Shit","False","Derek","3","3","3","2","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/cf4d66ee188db242f8df368e81fdaab3168af37ee181b0a10d2714a93eeaf530.jpg"
"449.l.190123.t.4","Tyrese's Titty Touchers","False","Tyrese","10","","1","4","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_11_t.png"
"449.l.190123.t.5","Touchdown syndrome","False","Tyler","4","4","3","2","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/fab23a628454946457538b625920a4939e73770f934ef456690b396d694ea1cb.jpg"
"449.l.190123.t.6","Rosa Parks Bus Seat","False","Nate","1","1","5","0","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/cc24f54c165b9df828475769133e13157003bddd3ba465fc114156add7dc7a8c.jpg"
"449.l.190123.t.7","Riley Reid option","False","Tyson","8","8","2","3","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_6_t.png"
"449.l.190123.t.8","Show me your TD's","False","Clayton","7","7","2","3","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_8_c.png"
"449.l.190123.t.9","Aaron Hernandez's 13th Reason","False","Dylan","9","","1","4","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/96881cd6d32eb87ce26a05d45c5ea52074be5b3ced3bc51dc362f2d4ccba0fc9.jpg"
"449.l.190123.t.10","Kooper Kupp Klan","False","Samuel","2","2","3","2","0","https://s.yimg.com/ep/cx/blendr/v2/image-y-letterman-jacket-png_1721175177806.png"
