"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","449.l.190123.t.5","Touchdown syndrome","449.p.30121","McCaffrey","Christian","2.5","1.1","$73.5","100%"
"2","1","449.l.190123.t.8","Show me your TD's","449.p.29399","Hill","Tyreek","3.4","1.1","$66.4","100%"
"3","1","449.l.190123.t.7","Riley Reid option","449.p.32687","Lamb","CeeDee","3.1","1.0","$65.7","100%"
"4","1","449.l.190123.t.10","Kooper Kupp Klan","449.p.33500","St. Brown","Amon-Ra","8.0","1.1","$60.2","100%"
"5","1","449.l.190123.t.9","Aaron Hernandez's 13th Reason","449.p.33991","Hall","Breece","4.3","1.0","$64.9","100%"
"6","1","449.l.190123.t.4","Tyrese's Titty Touchers","449.p.32711","Taylor","Jonathan","10.6","1.6","$53.0","100%"
"7","1","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.p.32692","Jefferson","Justin","7.4","1.1","$60.3","100%"
"8","1","449.l.190123.t.6","Rosa Parks Bus Seat","449.p.30972","Barkley","Saquon","12.8","1.9","$47.6","100%"
"9","1","449.l.190123.t.2","Give Me A Chubb","449.p.40055","Robinson","Bijan","5.7","1.0","$64.1","100%"
"10","1","449.l.190123.t.1","Get Your Butker In The Kitchen","449.p.40059","Gibbs","Jahmyr","15.0","2.0","$45.5","100%"
"11","2","449.l.190123.t.1","Get Your Butker In The Kitchen","449.p.33393","Chase","Ja'Marr","6.9","1.1","$60.2","100%"
"12","2","449.l.190123.t.2","Give Me A Chubb","449.p.31883","Brown","A.J.","11.2","1.6","$51.4","100%"
"13","2","449.l.190123.t.6","Rosa Parks Bus Seat","449.p.30123","Mahomes","Patrick","29.0","3.4","$19.2","100%"
"14","2","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.p.34120","Williams","Kyren","18.0","2.2","$41.8","100%"
"15","2","449.l.190123.t.4","Tyrese's Titty Touchers","449.p.33965","Wilson","Garrett","12.4","1.8","$49.6","100%"
"16","2","449.l.190123.t.9","Aaron Hernandez's 13th Reason","449.p.40168","Nacua","Puka","17.0","2.2","$43.6","99%"
"17","2","449.l.190123.t.10","Kooper Kupp Klan","449.p.29279","Henry","Derrick","13.5","1.9","$45.0","100%"
"18","2","449.l.190123.t.7","Riley Reid option","449.p.40893","Harrison Jr.","Marvin","18.3","2.2","$40.5","100%"
"19","2","449.l.190123.t.8","Show me your TD's","449.p.34207","Pacheco","Isiah","20.0","2.5","$38.2","99%"
"20","2","449.l.190123.t.5","Touchdown syndrome","449.p.27535","Evans","Mike","24.4","3.0","$30.2","100%"
"21","3","449.l.190123.t.5","Touchdown syndrome","449.p.32695","Aiyuk","Brandon","31.0","3.6","$27.5","100%"
"22","3","449.l.190123.t.8","Show me your TD's","449.p.26686","Kelce","Travis","25.6","3.1","$27.4","100%"
"23","3","449.l.190123.t.7","Riley Reid option","449.p.27581","Adams","Davante","23.3","2.8","$32.9","100%"
"24","3","449.l.190123.t.10","Kooper Kupp Klan","449.p.31002","Jackson","Lamar","34.8","4.0","$17.5","100%"
"25","3","449.l.190123.t.9","Aaron Hernandez's 13th Reason","449.p.33963","London","Drake","25.3","3.0","$29.6","100%"
"26","3","449.l.190123.t.4","Tyrese's Titty Touchers","449.p.33966","Olave","Chris","27.9","3.3","$29.6","100%"
"27","3","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.p.31868","Samuel Sr.","Deebo","30.0","3.5","$25.3","100%"
"28","3","449.l.190123.t.6","Rosa Parks Bus Seat","449.p.33477","Collins","Nico","31.0","3.6","$23.1","100%"
"29","3","449.l.190123.t.2","Give Me A Chubb","449.p.33413","Etienne Jr.","Travis","23.7","2.9","$35.7","100%"
"30","3","449.l.190123.t.1","Get Your Butker In The Kitchen","449.p.40118","Achane","De'Von","25.5","3.1","$30.3","100%"
"31","4","449.l.190123.t.1","Get Your Butker In The Kitchen","449.p.40064","LaPorta","Sam","31.0","3.7","$25.8","100%"
"32","4","449.l.190123.t.2","Give Me A Chubb","449.p.30182","Kupp","Cooper","30.9","3.6","$25.8","100%"
"33","4","449.l.190123.t.6","Rosa Parks Bus Seat","449.p.30259","Kittle","George","51.9","5.8","$7.1","100%"
"34","4","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.p.30977","Allen","Josh","24.5","3.0","$28.7","100%"
"35","4","449.l.190123.t.4","Tyrese's Titty Touchers","449.p.30994","Moore","DJ","39.7","4.5","$18.6","100%"
