"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points"
"1","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.5","Touchdown syndrome","True","False","False","90.68","91.86"
"1","449.l.190123.t.2","Give Me A Chubb","449.l.190123.t.10","Kooper Kupp Klan","True","False","False","129.86","101.42"
"1","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.l.190123.t.7","Riley Reid option","True","False","False","124.58","95.62"
"1","449.l.190123.t.4","Tyrese's Titty Touchers","449.l.190123.t.6","Rosa Parks Bus Seat","True","False","False","87.08","98.44"
"1","449.l.190123.t.8","Show me your TD's","449.l.190123.t.9","Aaron Hernandez's 13th Reason","True","False","False","116.56","89.76"
"2","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.8","Show me your TD's","True","False","False","116.84","112.52"
"2","449.l.190123.t.2","Give Me A Chubb","449.l.190123.t.5","Touchdown syndrome","True","False","False","110.10","111.94"
"2","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.l.190123.t.4","Tyrese's Titty Touchers","True","False","False","97.56","69.46"
"2","449.l.190123.t.6","Rosa Parks Bus Seat","449.l.190123.t.10","Kooper Kupp Klan","True","False","False","111.04","97.48"
"2","449.l.190123.t.7","Riley Reid option","449.l.190123.t.9","Aaron Hernandez's 13th Reason","True","False","False","122.12","120.90"
"3","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.7","Riley Reid option","True","False","False","103.38","60.14"
"3","449.l.190123.t.2","Give Me A Chubb","449.l.190123.t.8","Show me your TD's","True","False","False","94.26","102.66"
"3","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.l.190123.t.9","Aaron Hernandez's 13th Reason","True","False","False","93.82","91.90"
"3","449.l.190123.t.4","Tyrese's Titty Touchers","449.l.190123.t.10","Kooper Kupp Klan","True","False","False","93.88","124.10"
"3","449.l.190123.t.5","Touchdown syndrome","449.l.190123.t.6","Rosa Parks Bus Seat","True","False","False","92.86","118.58"
"4","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.9","Aaron Hernandez's 13th Reason","True","False","False","76.28","89.60"
"4","449.l.190123.t.2","Give Me A Chubb","449.l.190123.t.7","Riley Reid option","True","False","False","97.48","102.22"
"4","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.l.190123.t.10","Kooper Kupp Klan","True","False","False","106.00","147.72"
"4","449.l.190123.t.4","Tyrese's Titty Touchers","449.l.190123.t.5","Touchdown syndrome","True","False","False","94.34","112.22"
"4","449.l.190123.t.6","Rosa Parks Bus Seat","449.l.190123.t.8","Show me your TD's","True","False","False","107.80","75.18"
"5","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.3","phat Thor's Huge Pile of Shit","True","False","False","108.90","102.44"
"5","449.l.190123.t.2","Give Me A Chubb","449.l.190123.t.9","Aaron Hernandez's 13th Reason","True","False","False","112.56","93.74"
"5","449.l.190123.t.4","Tyrese's Titty Touchers","449.l.190123.t.8","Show me your TD's","True","False","False","128.64","126.88"
"5","449.l.190123.t.5","Touchdown syndrome","449.l.190123.t.10","Kooper Kupp Klan","True","False","False","111.02","116.32"
"5","449.l.190123.t.6","Rosa Parks Bus Seat","449.l.190123.t.7","Riley Reid option","True","False","False","119.84","43.00"
"6","449.l.190123.t.1","Get Your Butker In The Kitchen","449.l.190123.t.2","Give Me A Chubb","False","False","False","0.00","13.00"
"6","449.l.190123.t.3","phat Thor's Huge Pile of Shit","449.l.190123.t.5","Touchdown syndrome","False","False","False","19.20","13.40"
"6","449.l.190123.t.4","Tyrese's Titty Touchers","449.l.190123.t.7","Riley Reid option","False","False","False","7.00","16.90"
"6","449.l.190123.t.6","Rosa Parks Bus Seat","449.l.190123.t.9","Aaron Hernandez's 13th Reason","False","False","False","20.30","0.00"
"6","449.l.190123.t.8","Show me your TD's","449.l.190123.t.10","Kooper Kupp Klan","False","False","False","6.30","0.00"
